"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","CNODE3",,,,"User:","attodev"
"Cmdline:","dstat -tcmndrylpg --output /opt/stack/logs/dstat-csv.log",,,,"Date:","07 Mar 2017 19:12:13 KST"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",
07-03 19:13:58,7.840,0.751,91.326,0.083,0.0,0.0,1392214016.0,145354752.0,2484314112.0,63503765504.0,1322.0,2284.0,0.0,98304.0,0.0,9.0,779.0,2604.0,0.660,0.510,0.370,1.0,0.0,28.0,0.0,0.0
07-03 19:13:59,8.090,0.417,91.410,0.083,0.0,0.0,1389744128.0,145362944.0,2484342784.0,63506198528.0,788.0,666.0,0.0,65536.0,0.0,6.0,788.0,3531.0,0.660,0.510,0.370,1.0,0.0,13.0,0.0,0.0
07-03 19:14:00,7.923,0.751,91.159,0.167,0.0,0.0,1395220480.0,145375232.0,2484375552.0,63500677120.0,788.0,874.0,0.0,94208.0,0.0,9.0,759.0,2697.0,0.690,0.510,0.380,1.0,0.0,18.0,0.0,0.0
07-03 19:14:01,7.840,0.667,91.493,0.0,0.0,0.0,1391661056.0,145383424.0,2484404224.0,63504199680.0,1316.0,2526.0,0.0,77824.0,0.0,6.0,795.0,3475.0,0.690,0.510,0.380,1.0,0.0,44.0,0.0,0.0
07-03 19:14:02,7.923,0.667,91.243,0.167,0.0,0.0,1384353792.0,145403904.0,2484400128.0,63511490560.0,656.0,278.0,0.0,2383872.0,0.0,53.0,775.0,3845.0,0.690,0.510,0.380,1.0,0.0,4.0,0.0,0.0
07-03 19:14:03,7.833,0.667,91.333,0.083,0.0,0.083,1383231488.0,145403904.0,2484428800.0,63512584192.0,522.0,1762.0,0.0,90112.0,0.0,9.0,763.0,2516.0,0.690,0.510,0.380,1.0,0.0,21.0,0.0,0.0
07-03 19:14:04,8.013,0.501,91.402,0.083,0.0,0.0,1378672640.0,145408000.0,2484432896.0,63517134848.0,1378.0,714.0,0.0,69632.0,0.0,6.0,739.0,3385.0,0.690,0.510,0.380,1.0,0.0,12.0,0.0,0.0
07-03 19:14:05,8.083,0.500,91.333,0.083,0.0,0.0,1402294272.0,145412096.0,2484465664.0,63493476352.0,0.0,0.0,0.0,417792.0,0.0,7.0,695.0,2195.0,0.630,0.510,0.380,1.0,0.0,4.0,0.0,0.0
07-03 19:14:06,7.763,0.751,91.486,0.0,0.0,0.0,1396367360.0,145420288.0,2484498432.0,63499362304.0,986.0,1468.0,0.0,61440.0,0.0,6.0,772.0,2517.0,0.630,0.510,0.380,1.0,0.0,17.0,0.0,0.0
07-03 19:14:07,8.007,0.417,91.493,0.083,0.0,0.0,1397841920.0,145424384.0,2484523008.0,63497859072.0,2106.0,1000.0,0.0,65536.0,0.0,6.0,780.0,2958.0,0.630,0.510,0.380,1.0,0.0,11.0,0.0,0.0
07-03 19:14:08,7.917,0.583,91.333,0.083,0.0,0.083,1393893376.0,145432576.0,2484543488.0,63501778944.0,450.0,1310.0,0.0,94208.0,0.0,9.0,771.0,2557.0,0.630,0.510,0.380,1.0,0.0,15.0,0.0,0.0
07-03 19:14:09,8.077,0.583,91.257,0.083,0.0,0.0,1390227456.0,145436672.0,2484572160.0,63505412096.0,198.0,706.0,0.0,69632.0,0.0,6.0,758.0,2793.0,0.630,0.510,0.380,1.0,0.0,14.0,0.0,0.0
07-03 19:14:10,7.519,1.003,91.312,0.084,0.0,0.084,1395843072.0,145436672.0,2484604928.0,63499763712.0,3676.0,3130.0,0.0,569344.0,0.0,23.0,865.0,3117.0,0.660,0.510,0.380,1.0,0.0,50.0,0.0,0.0
07-03 19:14:11,7.910,0.666,91.341,0.083,0.0,0.0,1393770496.0,145444864.0,2484625408.0,63501807616.0,1364.0,2342.0,0.0,106496.0,0.0,9.0,778.0,2470.0,0.660,0.510,0.380,1.0,0.0,28.0,0.0,0.0
07-03 19:14:12,8.180,0.417,91.235,0.167,0.0,0.0,1382944768.0,145457152.0,2484645888.0,63512600576.0,198.0,666.0,0.0,2043904.0,0.0,51.0,799.0,3596.0,0.660,0.510,0.380,1.0,0.0,7.0,0.0,0.0
07-03 19:14:13,7.910,0.666,91.257,0.083,0.0,0.083,1385508864.0,145461248.0,2484645888.0,63510032384.0,2172.0,1086.0,0.0,98304.0,0.0,9.0,725.0,2958.0,0.660,0.510,0.380,1.0,0.0,18.0,0.0,0.0
07-03 19:14:14,7.750,0.833,91.333,0.083,0.0,0.0,1380200448.0,145465344.0,2484678656.0,63515303936.0,2690.0,2076.0,0.0,65536.0,0.0,6.0,753.0,3120.0,0.660,0.510,0.380,1.0,0.0,28.0,0.0,0.0
07-03 19:14:15,8.007,0.500,91.410,0.083,0.0,0.0,1401585664.0,145469440.0,2484707328.0,63493885952.0,1068.0,222.0,0.0,36864.0,0.0,3.0,717.0,1710.0,0.690,0.520,0.380,1.0,0.0,4.0,0.0,0.0
07-03 19:14:16,8.070,0.499,91.348,0.083,0.0,0.0,1399914496.0,145469440.0,2484727808.0,63495536640.0,656.0,278.0,0.0,32768.0,0.0,3.0,711.0,2200.0,0.690,0.520,0.380,1.0,0.0,7.0,0.0,0.0
07-03 19:14:17,8.104,0.501,91.395,0.0,0.0,0.0,1403125760.0,145485824.0,2484740096.0,63492296704.0,3478.0,1944.0,0.0,114688.0,0.0,9.0,789.0,3167.0,0.690,0.520,0.380,1.0,0.0,21.0,0.0,0.0
07-03 19:14:18,8.0,0.500,91.333,0.083,0.0,0.083,1398599680.0,145485824.0,2484772864.0,63496790016.0,258.0,738.0,0.0,69632.0,0.0,6.0,746.0,2602.0,0.690,0.520,0.380,1.0,0.0,12.0,0.0,0.0
07-03 19:14:19,7.744,0.749,91.257,0.167,0.0,0.083,1394749440.0,145510400.0,2484789248.0,63500599296.0,1328.0,1500.0,0.0,278528.0,0.0,18.0,819.0,4221.0,0.690,0.520,0.380,1.0,0.0,19.0,0.0,0.0
07-03 19:14:20,7.673,0.834,91.410,0.083,0.0,0.0,1392553984.0,145518592.0,2484809728.0,63502766080.0,1378.0,722.0,0.0,114688.0,0.0,6.0,740.0,2710.0,0.710,0.530,0.390,1.0,0.0,11.0,0.0,0.0
07-03 19:14:21,7.910,0.666,91.341,0.083,0.0,0.0,1393123328.0,145526784.0,2484842496.0,63502155776.0,986.0,1436.0,0.0,114688.0,0.0,9.0,795.0,2851.0,0.710,0.530,0.390,1.0,0.0,15.0,0.0,0.0
07-03 19:14:22,8.097,0.334,91.235,0.250,0.0,0.083,1393295360.0,145555456.0,2484867072.0,63501930496.0,788.0,730.0,0.0,2211840.0,0.0,55.0,821.0,3605.0,0.710,0.530,0.390,1.0,0.0,11.0,0.0,0.0
07-03 19:14:23,7.840,0.584,91.493,0.0,0.0,0.083,1396027392.0,145571840.0,2484895744.0,63499153408.0,1636.0,1484.0,0.0,106496.0,0.0,9.0,780.0,2552.0,0.710,0.530,0.390,1.0,0.0,18.0,0.0,0.0
07-03 19:14:24,7.917,0.583,91.333,0.167,0.0,0.0,1394827264.0,145571840.0,2484924416.0,63500324864.0,66.0,286.0,0.0,69632.0,0.0,6.0,712.0,2206.0,0.710,0.530,0.390,1.0,0.0,7.0,0.0,0.0
07-03 19:14:25,7.923,0.417,91.576,0.083,0.0,0.0,1390985216.0,145592320.0,2492841984.0,63496228864.0,1130.0,2136.0,0.0,8552448.0,0.0,14.0,761.0,2323.0,0.740,0.540,0.390,1.0,0.0,17.0,0.0,0.0
07-03 19:14:26,8.007,0.500,91.410,0.083,0.0,0.0,1388912640.0,145600512.0,2493313024.0,63497822208.0,788.0,738.0,0.0,69632.0,0.0,6.0,743.0,2439.0,0.740,0.540,0.390,1.0,0.0,12.0,0.0,0.0
07-03 19:14:27,8.0,0.583,91.250,0.167,0.0,0.0,1384800256.0,145616896.0,2493329408.0,63501901824.0,986.0,1500.0,0.0,98304.0,0.0,9.0,797.0,2897.0,0.740,0.540,0.390,1.0,0.0,17.0,0.0,0.0
07-03 19:14:28,8.013,0.417,91.486,0.0,0.0,0.083,1383424000.0,145620992.0,2493366272.0,63503237120.0,848.0,730.0,0.0,73728.0,0.0,6.0,728.0,2648.0,0.740,0.540,0.390,1.0,0.0,11.0,0.0,0.0
07-03 19:14:29,7.993,0.583,91.341,0.083,0.0,0.0,1402445824.0,145620992.0,2493399040.0,63484182528.0,0.0,0.0,0.0,102400.0,0.0,9.0,733.0,3237.0,0.740,0.540,0.390,1.0,0.0,6.0,0.0,0.0
07-03 19:14:30,7.840,0.667,91.410,0.083,0.0,0.0,1402515456.0,145629184.0,2493415424.0,63484088320.0,1576.0,1444.0,0.0,73728.0,0.0,5.0,745.0,2248.0,0.760,0.550,0.390,1.0,0.0,15.0,0.0,0.0
07-03 19:14:31,8.173,0.334,91.493,0.0,0.0,0.0,1402089472.0,145629184.0,2493452288.0,63484477440.0,788.0,730.0,0.0,36864.0,0.0,3.0,771.0,2435.0,0.760,0.550,0.390,1.0,0.0,11.0,0.0,0.0
07-03 19:14:32,8.0,0.500,91.250,0.250,0.0,0.0,1403736064.0,145653760.0,2493480960.0,63482777600.0,726.0,2890.0,0.0,2408448.0,0.0,62.0,862.0,3900.0,0.760,0.550,0.390,1.0,0.0,33.0,0.0,0.0
07-03 19:14:33,7.917,0.667,91.250,0.083,0.0,0.083,1406148608.0,145661952.0,2493497344.0,63480340480.0,1244.0,2094.0,0.0,102400.0,0.0,9.0,750.0,2744.0,0.760,0.550,0.390,1.0,0.0,28.0,0.0,0.0
07-03 19:14:34,7.980,0.665,91.272,0.083,0.0,0.0,1399103488.0,145666048.0,2493521920.0,63487356928.0,788.0,666.0,0.0,73728.0,0.0,6.0,726.0,3189.0,0.760,0.550,0.390,1.0,0.0,11.0,0.0,0.0
07-03 19:14:35,7.840,0.751,91.326,0.083,0.0,0.0,1401536512.0,145678336.0,2493558784.0,63484874752.0,264.0,976.0,0.0,114688.0,0.0,10.0,746.0,3069.0,0.780,0.550,0.400,1.0,0.0,18.0,0.0,0.0
07-03 19:14:36,7.853,0.668,91.479,0.0,0.0,0.0,1398927360.0,145690624.0,2493583360.0,63487447040.0,1250.0,2204.0,0.0,77824.0,0.0,6.0,778.0,3037.0,0.780,0.550,0.400,1.0,0.0,28.0,0.0,0.0
07-03 19:14:37,8.007,0.500,91.410,0.083,0.0,0.0,1399037952.0,145698816.0,2493607936.0,63487303680.0,1836.0,278.0,0.0,65536.0,0.0,6.0,747.0,3043.0,0.780,0.550,0.400,1.0,0.0,7.0,0.0,0.0
07-03 19:14:38,7.660,0.749,91.341,0.167,0.0,0.083,1394589696.0,145702912.0,2493612032.0,63491743744.0,522.0,1778.0,0.0,98304.0,0.0,9.0,770.0,2349.0,0.780,0.550,0.400,1.0,0.0,19.0,0.0,0.0
07-03 19:14:39,8.070,0.582,91.265,0.0,0.0,0.083,1388638208.0,145702912.0,2493616128.0,63497691136.0,788.0,722.0,0.0,65536.0,0.0,6.0,774.0,3253.0,0.780,0.550,0.400,1.0,0.0,12.0,0.0,0.0
07-03 19:14:40,8.090,0.417,91.326,0.083,0.0,0.083,1406844928.0,145707008.0,2493636608.0,63479459840.0,2950.0,0.0,0.0,446464.0,0.0,7.0,696.0,2626.0,0.720,0.540,0.390,1.0,0.0,4.0,0.0,0.0
07-03 19:14:41,8.0,0.500,91.417,0.083,0.0,0.0,1404219392.0,145707008.0,2493677568.0,63482044416.0,738.0,1484.0,0.0,28672.0,0.0,3.0,780.0,2270.0,0.720,0.540,0.390,1.0,0.0,17.0,0.0,0.0
07-03 19:14:42,8.007,0.584,91.243,0.167,0.0,0.0,1400291328.0,145731584.0,2493702144.0,63485923328.0,788.0,706.0,0.0,2588672.0,0.0,61.0,800.0,3697.0,0.720,0.540,0.390,1.0,0.0,11.0,0.0,0.0
07-03 19:14:43,8.077,0.416,91.341,0.083,0.0,0.083,1400324096.0,145747968.0,2493730816.0,63485845504.0,3358.0,1604.0,0.0,102400.0,0.0,9.0,760.0,2795.0,0.720,0.540,0.390,1.0,0.0,15.0,0.0,0.0
07-03 19:14:44,8.180,0.334,91.402,0.083,0.0,0.0,1399758848.0,145760256.0,2493763584.0,63486365696.0,788.0,714.0,0.0,81920.0,0.0,6.0,743.0,3202.0,0.720,0.540,0.390,1.0,0.0,11.0,0.0,0.0
07-03 19:14:45,7.494,1.249,91.174,0.083,0.0,0.0,1397219328.0,145776640.0,2493792256.0,63488860160.0,3980.0,10860.0,0.0,688128.0,0.0,33.0,1107.0,4179.0,0.740,0.550,0.400,1.0,0.0,165.0,0.0,0.0
07-03 19:14:46,8.007,0.500,91.493,0.0,0.0,0.0,1403953152.0,145776640.0,2493796352.0,63482122240.0,1902.0,588.0,0.0,0.0,0.0,0.0,684.0,1792.0,0.740,0.550,0.400,1.0,0.0,11.0,0.0,0.0
07-03 19:14:47,8.167,0.500,91.333,0.0,0.0,0.0,1433358336.0,145776640.0,2493796352.0,63452717056.0,1306.0,166.0,0.0,0.0,0.0,0.0,686.0,5668.0,0.740,0.550,0.400,2.0,0.0,9.0,0.0,0.0
07-03 19:14:48,7.018,1.671,91.228,0.084,0.0,0.0,1406398464.0,145776640.0,2493833216.0,63479640064.0,932.0,0.0,0.0,147456.0,0.0,1.0,771.0,18774.0,0.740,0.550,0.400,1.0,0.0,8.0,0.0,0.0
07-03 19:14:49,8.0,0.583,91.417,0.0,0.0,0.0,1433444352.0,145776640.0,2493980672.0,63452446720.0,656.0,254.0,0.0,0.0,0.0,0.0,683.0,2756.0,0.740,0.550,0.400,2.0,0.0,11.0,0.0,0.0
07-03 19:14:50,7.250,1.750,91.0,0.0,0.0,0.0,1407008768.0,145780736.0,2493976576.0,63478882304.0,1180.0,0.0,0.0,1036288.0,0.0,13.0,1031.0,20815.0,0.760,0.560,0.400,1.0,0.0,8.0,0.0,0.0
07-03 19:14:51,3.008,0.167,96.742,0.0,0.0,0.084,1411727360.0,145780736.0,2495508480.0,63472631808.0,1937808.0,45556.0,0.0,0.0,0.0,0.0,2157.0,3073.0,0.760,0.560,0.400,2.0,0.0,0.0,0.0,0.0
07-03 19:14:52,5.046,0.505,94.281,0.084,0.0,0.084,1426612224.0,145817600.0,2509078528.0,63444140032.0,4549721.0,83094.0,0.0,1339392.0,0.0,34.0,4091.0,4194.0,0.760,0.560,0.400,1.0,0.0,0.0,0.0,0.0
07-03 19:14:53,6.422,1.334,92.244,0.0,0.0,0.0,1445527552.0,151392256.0,2524557312.0,63404171264.0,161801.0,4302.0,8192.0,0.0,2.0,0.0,795.0,1479.0,0.760,0.560,0.400,1.0,0.0,3.0,0.0,0.0
07-03 19:14:54,7.417,0.500,92.083,0.0,0.0,0.0,1444233216.0,151457792.0,2524643328.0,63405314048.0,5794.0,2366.0,0.0,4096.0,0.0,1.0,662.0,1425.0,0.760,0.560,0.400,1.0,0.0,1.0,0.0,0.0
07-03 19:14:55,7.333,0.167,92.417,0.0,0.0,0.083,1438560256.0,151535616.0,2527952896.0,63407599616.0,675792.0,12922.0,0.0,4096.0,0.0,1.0,1077.0,1590.0,0.780,0.570,0.400,1.0,0.0,3.0,0.0,0.0
07-03 19:14:56,7.506,0.500,91.993,0.0,0.0,0.0,1436413952.0,151609344.0,2528550912.0,63409074176.0,40932.0,2539.0,0.0,4096.0,0.0,1.0,675.0,1608.0,0.780,0.570,0.400,1.0,0.0,3.0,0.0,0.0
07-03 19:14:57,8.083,0.417,91.250,0.250,0.0,0.0,1434021888.0,151625728.0,2528403456.0,63411597312.0,192.0,0.0,0.0,10465280.0,0.0,18.0,675.0,1765.0,0.780,0.570,0.400,1.0,0.0,2.0,0.0,0.0
07-03 19:14:58,7.250,0.583,92.083,0.083,0.0,0.0,1433919488.0,151683072.0,2528530432.0,63411515392.0,10037.0,1990.0,0.0,4096.0,0.0,1.0,660.0,1565.0,0.780,0.570,0.400,1.0,0.0,3.0,0.0,0.0
07-03 19:14:59,7.500,0.500,92.0,0.0,0.0,0.0,1434275840.0,151760896.0,2528653312.0,63410958336.0,7829.0,1948.0,0.0,4096.0,0.0,1.0,678.0,2360.0,0.780,0.570,0.400,1.0,0.0,5.0,0.0,0.0
07-03 19:15:00,7.423,0.500,92.077,0.0,0.0,0.0,1434640384.0,151859200.0,2529116160.0,63410032640.0,37836.0,2478.0,0.0,32768.0,0.0,3.0,679.0,1511.0,0.720,0.560,0.400,1.0,0.0,3.0,0.0,0.0
07-03 19:15:01,7.500,0.250,92.250,0.0,0.0,0.0,1447198720.0,151973888.0,2530131968.0,63396343808.0,176470.0,4702.0,0.0,0.0,0.0,0.0,761.0,1599.0,0.720,0.560,0.400,1.0,0.0,3.0,0.0,0.0
07-03 19:15:02,7.346,0.501,92.154,0.0,0.0,0.0,1447477248.0,152027136.0,2530607104.0,63395536896.0,72470.0,3070.0,0.0,573440.0,0.0,3.0,690.0,2217.0,0.720,0.560,0.400,1.0,0.0,3.0,0.0,0.0
07-03 19:15:03,7.006,0.751,92.244,0.0,0.0,0.0,1447366656.0,152117248.0,2532433920.0,63393730560.0,501472.0,9780.0,0.0,4096.0,0.0,1.0,977.0,2140.0,0.720,0.560,0.400,1.0,0.0,3.0,0.0,0.0
07-03 19:15:04,7.333,0.583,92.0,0.083,0.0,0.0,1446129664.0,152190976.0,2532179968.0,63395147776.0,10086.0,1954.0,0.0,4096.0,0.0,1.0,680.0,1651.0,0.720,0.560,0.400,1.0,0.0,1.0,0.0,0.0
07-03 19:15:05,7.346,0.501,92.154,0.0,0.0,0.0,1445588992.0,152281088.0,2532311040.0,63395467264.0,14600.0,2054.0,0.0,12288.0,0.0,3.0,658.0,1724.0,0.740,0.560,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:06,7.506,0.334,92.160,0.0,0.0,0.0,1445720064.0,152354816.0,2532470784.0,63395102720.0,25571.0,2277.0,0.0,4096.0,0.0,1.0,669.0,1304.0,0.740,0.560,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:07,7.404,0.582,91.930,0.083,0.0,0.0,1445969920.0,152408064.0,2532679680.0,63394590720.0,10960.0,2054.0,0.0,569344.0,0.0,3.0,681.0,2004.0,0.740,0.560,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:08,7.583,0.250,92.167,0.0,0.0,0.0,1442369536.0,152469504.0,2532810752.0,63397998592.0,39645.0,2498.0,0.0,4096.0,0.0,1.0,693.0,1311.0,0.740,0.560,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:09,7.679,0.334,91.987,0.0,0.0,0.0,1436327936.0,152494080.0,2533093376.0,63403732992.0,22538.0,1982.0,0.0,4096.0,0.0,1.0,682.0,2137.0,0.740,0.560,0.410,1.0,0.0,4.0,0.0,0.0
07-03 19:15:10,7.602,0.418,91.729,0.167,0.0,0.084,1437589504.0,152633344.0,2533339136.0,63402086400.0,53686.0,2868.0,0.0,51441664.0,0.0,261.0,932.0,1302.0,0.760,0.570,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:11,8.333,0.417,91.250,0.0,0.0,0.0,1437409280.0,152645632.0,2533662720.0,63401930752.0,932.0,66.0,0.0,4096.0,0.0,1.0,686.0,1851.0,0.760,0.570,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:12,7.590,0.334,91.993,0.083,0.0,0.0,1437515776.0,152727552.0,2533785600.0,63401619456.0,10939.0,1952.0,0.0,2195456.0,0.0,6.0,675.0,1855.0,0.760,0.570,0.410,3.0,0.0,3.0,0.0,0.0
07-03 19:15:13,5.671,0.751,93.578,0.0,0.0,0.0,1462419456.0,152924160.0,2542338048.0,63367966720.0,1696161.0,31031.0,0.0,0.0,0.0,0.0,1681.0,2391.0,0.760,0.570,0.410,1.0,0.0,1.0,0.0,0.0
07-03 19:15:14,7.101,0.167,92.732,0.0,0.0,0.0,1454727168.0,152948736.0,2543714304.0,63374258176.0,1299936.0,33739.0,0.0,4096.0,0.0,1.0,1564.0,2694.0,0.760,0.570,0.410,1.0,0.0,2.0,0.0,0.0
07-03 19:15:15,7.930,0.584,91.486,0.0,0.0,0.0,1456254976.0,153341952.0,2548998144.0,63367053312.0,1180.0,0.0,0.0,36864.0,0.0,1.0,675.0,1454.0,0.780,0.580,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:16,3.846,0.418,95.652,0.0,0.0,0.084,1478631424.0,153444352.0,2556284928.0,63337287680.0,5562702.0,96657.0,8192.0,0.0,2.0,0.0,4261.0,4741.0,0.780,0.580,0.410,1.0,0.0,0.0,0.0,0.0
07-03 19:15:17,6.994,0.333,92.590,0.083,0.0,0.0,1447223296.0,153649152.0,2570833920.0,63353942016.0,82056.0,5080.0,4096.0,1110016.0,1.0,3.0,662.0,1530.0,0.780,0.580,0.410,1.0,0.0,1.0,0.0,0.0
07-03 19:15:18,7.590,0.334,92.077,0.0,0.0,0.0,1441738752.0,153735168.0,2570604544.0,63359569920.0,24320.0,2214.0,0.0,4096.0,0.0,1.0,650.0,1342.0,0.780,0.580,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:19,7.423,0.417,92.077,0.0,0.0,0.083,1442496512.0,153829376.0,2571288576.0,63358033920.0,133507.0,4042.0,0.0,4096.0,0.0,1.0,779.0,2183.0,0.780,0.580,0.410,1.0,0.0,4.0,0.0,0.0
07-03 19:15:20,6.839,0.417,92.744,0.0,0.0,0.0,1452630016.0,154542080.0,2572746752.0,63345729536.0,120143.0,5546.0,0.0,0.0,0.0,0.0,712.0,1330.0,0.720,0.570,0.410,1.0,0.0,1.0,0.0,0.0
07-03 19:15:21,7.339,0.417,92.244,0.0,0.0,0.0,1451425792.0,154595328.0,2573086720.0,63346540544.0,56015.0,5624.0,0.0,4096.0,0.0,1.0,720.0,1457.0,0.720,0.570,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:22,7.917,0.083,91.833,0.167,0.0,0.0,1443860480.0,154603520.0,2572910592.0,63354273792.0,55295.0,3448.0,0.0,1228800.0,0.0,5.0,708.0,1901.0,0.720,0.570,0.410,0.0,0.0,2.0,0.0,0.0
07-03 19:15:23,8.257,0.250,91.493,0.0,0.0,0.0,1444032512.0,154660864.0,2573717504.0,63353237504.0,76999.0,1320.0,0.0,4096.0,0.0,1.0,761.0,1687.0,0.720,0.570,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:24,5.848,0.251,93.901,0.0,0.0,0.0,1444401152.0,154935296.0,2576023552.0,63350288384.0,832165.0,21152.0,0.0,0.0,0.0,0.0,1155.0,1954.0,0.720,0.570,0.410,0.0,0.0,0.0,0.0,0.0
07-03 19:15:25,8.007,0.500,91.493,0.0,0.0,0.0,1446318080.0,155115520.0,2579382272.0,63344832512.0,137827.0,2816.0,0.0,4096.0,0.0,1.0,812.0,1466.0,0.740,0.580,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:26,7.500,0.250,92.250,0.0,0.0,0.0,1446670336.0,155209728.0,2581868544.0,63341899776.0,472043.0,9257.0,0.0,4096.0,0.0,1.0,943.0,1579.0,0.740,0.580,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:27,7.577,0.416,92.007,0.0,0.0,0.0,1458700288.0,155271168.0,2581966848.0,63329710080.0,13765.0,10400.0,0.0,0.0,0.0,0.0,779.0,2373.0,0.740,0.580,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:28,8.173,0.417,91.326,0.083,0.0,0.0,1458614272.0,155369472.0,2581794816.0,63329869824.0,788.0,618.0,0.0,946176.0,0.0,7.0,688.0,1670.0,0.740,0.580,0.410,1.0,0.0,3.0,0.0,0.0
07-03 19:15:29,7.750,0.917,91.333,0.0,0.0,0.0,1456168960.0,155504640.0,2582417408.0,63331557376.0,866.0,1672.0,0.0,40960.0,0.0,10.0,729.0,1815.0,0.740,0.580,0.410,1.0,0.0,6.0,0.0,0.0
07-03 19:15:30,8.173,0.334,91.493,0.0,0.0,0.0,1458614272.0,155598848.0,2582323200.0,63329112064.0,1064.0,658.0,0.0,20480.0,0.0,5.0,688.0,1652.0,0.760,0.580,0.420,1.0,0.0,5.0,0.0,0.0
07-03 19:15:31,8.090,0.417,91.493,0.0,0.0,0.0,1455730688.0,155799552.0,2582175744.0,63331942400.0,396.0,1332.0,0.0,40960.0,0.0,10.0,720.0,1968.0,0.760,0.580,0.420,1.0,0.0,4.0,0.0,0.0
07-03 19:15:32,8.236,0.416,91.265,0.083,0.0,0.0,1458704384.0,155930624.0,2582208512.0,63328804864.0,1516.0,856.0,0.0,24576.0,0.0,5.0,671.0,2007.0,0.760,0.580,0.420,1.0,0.0,5.0,0.0,0.0
07-03 19:15:33,8.007,0.667,91.326,0.0,0.0,0.0,1458360320.0,156139520.0,2582351872.0,63328796672.0,198.0,634.0,0.0,729088.0,0.0,8.0,706.0,2344.0,0.760,0.580,0.420,1.0,0.0,3.0,0.0,0.0
07-03 19:15:34,7.846,0.668,91.486,0.0,0.0,0.0,1456586752.0,156229632.0,2582536192.0,63330295808.0,986.0,1284.0,0.0,40960.0,0.0,10.0,712.0,2348.0,0.760,0.580,0.420,1.0,0.0,4.0,0.0,0.0
07-03 19:15:35,8.167,0.417,91.417,0.0,0.0,0.0,1458782208.0,156278784.0,2582728704.0,63327858688.0,1480.0,708.0,0.0,20480.0,0.0,5.0,673.0,1797.0,0.780,0.590,0.420,1.0,0.0,5.0,0.0,0.0
07-03 19:15:36,8.070,0.582,91.265,0.083,0.0,0.0,1456406528.0,156364800.0,2582638592.0,63330238464.0,866.0,1704.0,0.0,40960.0,0.0,10.0,711.0,1705.0,0.780,0.590,0.420,1.0,0.0,4.0,0.0,0.0
07-03 19:15:37,7.917,0.667,91.417,0.0,0.0,0.0,1458671616.0,156405760.0,2582585344.0,63327985664.0,1124.0,650.0,0.0,20480.0,0.0,5.0,709.0,2084.0,0.780,0.590,0.420,1.0,0.0,5.0,0.0,0.0
07-03 19:15:38,8.173,0.334,91.410,0.083,0.0,0.0,1457917952.0,156459008.0,2582556672.0,63328714752.0,788.0,642.0,0.0,708608.0,0.0,7.0,676.0,1747.0,0.780,0.590,0.420,1.0,0.0,3.0,0.0,0.0
07-03 19:15:39,8.007,0.584,91.410,0.0,0.0,0.0,1454292992.0,156549120.0,2582487040.0,63332319232.0,2636.0,1474.0,0.0,40960.0,0.0,10.0,735.0,2518.0,0.780,0.590,0.420,1.0,0.0,6.0,0.0,0.0
07-03 19:15:40,8.007,0.584,91.410,0.0,0.0,0.0,1457659904.0,156594176.0,2582413312.0,63328980992.0,396.0,634.0,0.0,20480.0,0.0,5.0,692.0,1720.0,0.800,0.600,0.420,1.0,0.0,5.0,0.0,0.0
07-03 19:15:41,8.0,0.667,91.333,0.0,0.0,0.0,1459855360.0,156643328.0,2585972736.0,63323176960.0,1130.0,634.0,0.0,77824.0,0.0,11.0,693.0,2588.0,0.800,0.600,0.420,1.0,0.0,3.0,0.0,0.0
07-03 19:15:42,7.667,1.0,91.333,0.0,0.0,0.0,1459478528.0,157122560.0,2584539136.0,63324508160.0,3798.0,642.0,0.0,20480.0,0.0,5.0,714.0,3452.0,0.800,0.600,0.420,1.0,0.0,3.0,0.0,0.0
07-03 19:15:43,8.0,0.583,91.333,0.083,0.0,0.0,1457025024.0,157237248.0,2584010752.0,63327375360.0,738.0,1276.0,0.0,1261568.0,0.0,9.0,730.0,1993.0,0.800,0.600,0.420,1.0,0.0,6.0,0.0,0.0
07-03 19:15:44,8.250,0.333,91.417,0.0,0.0,0.0,1459478528.0,157274112.0,2583769088.0,63325126656.0,788.0,626.0,0.0,28672.0,0.0,6.0,684.0,2093.0,0.800,0.600,0.420,1.0,0.0,3.0,0.0,0.0
